item_id,mp1,value
1,0.6651674116,81
2,0.6636498574,18
3,0.8031168303,30
4,0.8831916643,
5,0.6427750351,30
6,0.3672171934,99
7,0.7576890347,88
8,0.2468311067,100
9,0.1149764548,46
10,0.2052136428,
11,0.6538847549,76
12,0.7339797287,74
13,0.009304200439,99
14,0.9524418324,13
15,0.7280780089,31
16,0.5645578606,65
17,0.009788650644,65
18,0.8880278848,14
19,0.8178853147,53
20,0.6870653488,35
21,0.377035764,15
22,0.6363194785,91
23,0.7822139124,77
24,0.4048674379,79
25,0.687440427,
26,0.3583538791,51
27,0.4510622217,70
28,0.7820834906,71
29,0.2144070055,64
30,0.8916453625,17
31,0.8466149705,11
32,0.04956845495,68
33,0.5560991074,22
34,0.8913012429,59
35,0.9447063212,
36,0.0918276335,34
37,0.9511560071,76
38,0.401451749,
39,0.2232638794,86
40,0.2373079125,11
41,0.09197605003,100
42,0.4432063405,53
43,0.2531345374,
44,0.9973591384,46
45,0.1445822428,70
46,0.1438248551,90
47,0.6267335985,26
48,0.1032618172,32
49,0.114748798,
50,0.6515188417,27
51,0.5912463524,29
52,0.1760681461,49
53,0.6619817398,20
54,0.5812750723,15
55,0.8556511785,49
56,0.6306054754,
57,0.9561106364,93
58,0.01931948125,39
59,0.1746218866,80
60,0.9628424504,40
61,0.1956625912,86
62,0.1773165092,16
63,0.4774063871,79
64,0.3989199853,15
65,0.9628537639,93
66,0.6321255832,88
67,0.5060675146,79
68,0.9945005518,73
69,0.6769474539,49
70,0.7129124247,16
71,0.155011181,10
72,0.6646909216,
73,0.02589249753,74
74,0.00464036074,33
75,0.9625157924,24
76,0.2976450618,28
77,0.4055689392,36
78,0.1254424562,69
79,0.4950163466,73
80,0.05905546444,37
81,0.07663265038,91
82,0.9051023242,
83,0.6861852957,83
84,0.2300927319,11
85,0.9608644921,23
86,0.8428482495,71
87,0.5453914246,22
88,0.437954584,86
89,0.7420933013,
90,0.2548909961,16
91,0.03390725514,18
92,0.9360376245,88
93,0.2111767326,51
94,0.8356134328,57
95,0.3222743542,
96,0.6698459598,28
97,0.6001873117,19
98,0.4510453315,83
99,0.08852482091,15
