item_id,mp2,date,,
1,27,7/9/2019,2019/1/1,2019/9/1
2,21,5/21/2019,2019/1/1,2019/9/1
3,86,12/30/1899,2019/1/1,2019/9/1
4,93,12/30/1899,2019/1/1,2019/9/1
5,37,1/13/2019,2019/1/1,2019/9/1
6,45,6/7/2019,2019/1/1,2019/9/1
7,99,4/24/2019,2019/1/1,2019/9/1
8,23,8/22/2019,2019/1/1,2019/9/1
9,77,6/21/2019,2019/1/1,2019/9/1
10,96,6/28/2019,2019/1/1,2019/9/1
11,53,5/9/2019,2019/1/1,2019/9/1
12,69,4/10/2019,2019/1/1,2019/9/1
13,16,1/15/2019,2019/1/1,2019/9/1
14,20,7/18/2019,2019/1/1,2019/9/1
15,81,3/8/2019,2019/1/1,2019/9/1
16,90,3/7/2019,2019/1/1,2019/9/1
17,56,6/30/2019,2019/1/1,2019/9/1
18,79,12/30/1899,2019/1/1,2019/9/1
19,70,12/30/1899,2019/1/1,2019/9/1
20,73,4/10/2019,2019/1/1,2019/9/1
21,99,1/11/2019,2019/1/1,2019/9/1
22,49,4/2/2019,2019/1/1,2019/9/1
23,21,8/5/2019,2019/1/1,2019/9/1
24,81,2/16/2019,2019/1/1,2019/9/1
25,15,2/24/2019,2019/1/1,2019/9/1
26,44,5/1/2019,2019/1/1,2019/9/1
27,33,3/21/2019,2019/1/1,2019/9/1
28,53,4/10/2019,2019/1/1,2019/9/1
29,64,7/8/2019,2019/1/1,2019/9/1
30,47,4/19/2019,2019/1/1,2019/9/1
31,12,4/19/2019,2019/1/1,2019/9/1
32,81,3/26/2019,2019/1/1,2019/9/1
33,33,12/30/1899,2019/1/1,2019/9/1
34,97,12/30/1899,2019/1/1,2019/9/1
35,44,7/1/2019,2019/1/1,2019/9/1
36,29,1/15/2019,2019/1/1,2019/9/1
37,50,2/16/2019,2019/1/1,2019/9/1
38,44,2/28/2019,2019/1/1,2019/9/1
39,42,5/18/2019,2019/1/1,2019/9/1
40,29,3/8/2019,2019/1/1,2019/9/1
41,91,7/18/2019,2019/1/1,2019/9/1
42,14,8/16/2019,2019/1/1,2019/9/1
43,40,3/9/2019,2019/1/1,2019/9/1
44,22,5/13/2019,2019/1/1,2019/9/1
45,26,8/16/2019,2019/1/1,2019/9/1
46,62,1/5/2019,2019/1/1,2019/9/1
47,93,3/19/2019,2019/1/1,2019/9/1
48,59,12/30/1899,2019/1/1,2019/9/1
49,25,12/30/1899,2019/1/1,2019/9/1
50,75,8/25/2019,2019/1/1,2019/9/1
51,82,2/24/2019,2019/1/1,2019/9/1
52,60,6/19/2019,2019/1/1,2019/9/1
53,15,6/27/2019,2019/1/1,2019/9/1
54,72,2/13/2019,2019/1/1,2019/9/1
55,46,2/17/2019,2019/1/1,2019/9/1
56,63,8/19/2019,2019/1/1,2019/9/1
57,53,2/8/2019,2019/1/1,2019/9/1
58,27,8/9/2019,2019/1/1,2019/9/1
59,33,5/9/2019,2019/1/1,2019/9/1
60,31,4/13/2019,2019/1/1,2019/9/1
61,32,5/10/2019,2019/1/1,2019/9/1
62,77,8/17/2019,2019/1/1,2019/9/1
63,64,12/30/1899,2019/1/1,2019/9/1
64,84,12/30/1899,2019/1/1,2019/9/1
65,23,1/23/2019,2019/1/1,2019/9/1
66,44,7/3/2019,2019/1/1,2019/9/1
67,59,4/4/2019,2019/1/1,2019/9/1
68,33,2/14/2019,2019/1/1,2019/9/1
69,30,3/28/2019,2019/1/1,2019/9/1
70,26,6/24/2019,2019/1/1,2019/9/1
71,66,5/20/2019,2019/1/1,2019/9/1
72,55,6/16/2019,2019/1/1,2019/9/1
73,81,4/29/2019,2019/1/1,2019/9/1
74,43,6/3/2019,2019/1/1,2019/9/1
75,92,7/15/2019,2019/1/1,2019/9/1
76,23,7/18/2019,2019/1/1,2019/9/1
77,48,6/21/2019,2019/1/1,2019/9/1
78,44,12/30/1899,2019/1/1,2019/9/1
79,58,12/30/1899,2019/1/1,2019/9/1
80,71,1/3/2019,2019/1/1,2019/9/1
81,97,8/12/2019,2019/1/1,2019/9/1
82,100,1/9/2019,2019/1/1,2019/9/1
83,25,3/15/2019,2019/1/1,2019/9/1
84,13,6/23/2019,2019/1/1,2019/9/1
85,51,1/20/2019,2019/1/1,2019/9/1
86,59,4/15/2019,2019/1/1,2019/9/1
87,53,5/14/2019,2019/1/1,2019/9/1
88,40,6/19/2019,2019/1/1,2019/9/1
89,80,1/7/2019,2019/1/1,2019/9/1
90,30,7/14/2019,2019/1/1,2019/9/1
91,66,2019-02-03T01:58:13,2019/1/1,2019/9/1
92,34,2/22/2019,2019/1/1,2019/9/1
93,70,8/13/2019,2019/1/1,2019/9/1
94,44,7/25/2019,2019/1/1,2019/9/1
95,22,1/4/2019,2019/1/1,2019/9/1
96,10,6/15/2019,2019/1/1,2019/9/1
97,57,3/12/2019,2019/1/1,2019/9/1
98,92,4/8/2019,2019/1/1,2019/9/1
99,28,2/20/2019,2019/1/1,2019/9/1
